moneda_codigo;moneda_nombre
1;PESO AR
102;LIBRA EST
113;CORONA SC
127;DOLAR HK
128;RAND
129;PESO CO
13;DOLAR USA
132;PESO MX
134;BOLIVAR
136;DOLAR SIN
137;RUPIA IN
138;DOLAR TAI
139;DIRHAM
140;WON KR
141;ZLOTY PL
142;EURO
143;CORONA CZ
144;FORINT HU
145;BAHT TH
146;LIRA TR
147;RINGGIT MY
148;RUBLO RU
149;RUPIA ID
150;HRYVNIA UA
151;SHEKEL IL
152;PESO PH
153;RIYAL SA
154;RUPIA PK
155;DONG VN
156;LIBRA EG
157;LEU RO
158;CORONA IS
159;RIAL IR
160;COLON CR
161;BALBOA PA
200;PESO CL
23;GUARANI
24;NUEVO SOL
26;PESO UY
36;DOLAR AUST
4;BOLIVIANO
48;YUAN CN
5;REAL BR
51;CORONA DIN
6;DOLAR CAN
72;YEN
82;FRANCO SZ
900;OTRAS MONEDAS
96;CORONA NOR
97;DOLAR NZ
-1;DESCONOCIDO